date,region,sales,inventory,competitor_discount,temperature
2026-05-28,South,4067.63,1000.0,0,17.9
2026-05-29,South,3901.15,983.4,0,17.5
2026-05-30,South,3961.29,1000.0,0,20.9
2026-05-31,South,3670.46,1000.0,0,22.1
2026-06-01,South,3469.96,987.7,0,20.5
2026-06-02,South,3579.89,981.5,0,26.3
2026-06-03,South,3927.25,983.0,0,29.8
2026-06-04,South,4074.43,994.2,0,26.4
2026-06-05,South,4106.26,1000.0,0,32.0
2026-06-06,South,4177.45,1000.0,0,33.1
2026-06-07,South,3547.39,981.7,0,29.4
2026-06-08,South,3584.97,1000.0,0,32.7
2026-06-09,South,3513.41,980.9,0,28.9
2026-06-10,South,3927.01,984.4,0,25.4
2026-06-11,South,4140.88,985.3,0,27.7
2026-06-12,South,4272.76,989.1,0,26.9
2026-06-13,South,4047.95,1000.0,0,25.9
2026-06-14,South,3465.43,1000.0,0,23.6
2026-06-15,South,3506.78,999.7,0,22.8
2026-06-16,South,3408.91,984.3,0,21.7
2026-06-17,South,3667.85,985.0,0,19.7
2026-06-18,South,4027.03,1000.0,0,19.2
2026-06-19,South,4038.88,982.5,0,15.1
2026-06-20,South,3866.53,973.1,0,13.5
2026-06-21,South,3497.74,974.9,0,14.0
2026-06-22,South,3743.29,957.3,0,14.1
2026-06-23,South,3627.2,942.2,0,16.5
2026-06-24,South,3786.52,970.6,0,13.9
2026-06-25,South,3946.18,963.1,0,16.2
2026-06-26,South,4059.47,980.2,0,11.5
2026-06-27,South,3854.98,1000.0,0,12.9
2026-06-28,South,3739.02,1000.0,0,19.4
2026-06-29,South,3390.85,1000.0,0,20.5
2026-04-01,East,4807.23,996.2,0,22.4
2026-04-02,East,5212.12,995.5,0,23.6
2026-04-03,East,5214.89,982.7,0,23.1
2026-04-04,East,5156.35,1000.0,0,28.5
2026-04-05,East,4868.88,985.2,0,30.9
2026-04-06,East,4992.44,1000.0,0,31.0
2026-04-07,East,4640.98,997.0,0,29.2
2026-04-08,East,5167.49,1000.0,0,27.3
2026-04-09,East,5066.72,986.1,0,31.1
2026-04-10,East,5237.51,975.7,0,28.4
2026-04-11,East,5059.08,966.2,0,27.2
2026-04-12,East,4569.5,1000.0,0,29.3
2026-04-13,East,4678.85,1000.0,0,24.9
2026-04-14,East,4793.93,995.5,0,25.8
2026-04-15,East,5060.11,1000.0,0,21.7
2026-04-16,East,5479.75,996.8,0,25.2
2026-04-17,East,5212.96,996.2,0,21.5
2026-04-18,East,5163.74,990.8,0,13.3
2026-04-19,East,4901.0,988.1,0,15.5
2026-04-20,East,4570.82,997.0,0,16.6
2026-04-21,East,4687.23,997.1,0,15.2
2026-04-22,East,4927.76,1000.0,0,15.9
2026-04-23,East,5298.13,1000.0,0,16.9
2026-04-24,East,5080.05,1000.0,0,12.0
2026-04-25,East,5174.7,1000.0,0,13.2
2026-04-26,East,4928.4,1000.0,0,18.2
2026-04-27,East,4748.03,992.1,0,15.2
2026-04-28,East,4727.23,1000.0,0,16.7
2026-04-29,East,5034.77,1000.0,0,22.9
2026-04-30,East,5202.13,1000.0,0,22.2
2026-05-01,East,5047.9,1000.0,0,20.0
2026-05-02,East,5256.36,1000.0,0,22.0
2026-05-03,East,4909.07,1000.0,0,24.8
2026-05-04,East,4814.61,1000.0,0,26.9
2026-05-05,East,4588.02,988.4,0,30.2
2026-05-06,East,5061.13,1000.0,0,31.4
2026-05-07,East,5256.37,989.1,0,30.1
2026-05-08,East,5161.51,1000.0,0,28.3
2026-05-09,East,5138.75,1000.0,0,29.0
2026-05-10,East,4828.13,1000.0,0,31.3
2026-05-11,East,4675.14,1000.0,0,27.0
2026-05-12,East,4714.16,1000.0,0,26.8
2026-05-13,East,5104.35,1000.0,0,29.4
2026-05-14,East,5038.68,1000.0,0,25.8
2026-05-15,East,5079.03,1000.0,0,26.7
2026-05-16,East,5151.83,1000.0,0,27.3
2026-05-17,East,4882.96,1000.0,0,21.8
2026-05-18,East,4733.54,989.2,0,19.6
2026-05-19,East,4991.29,994.6,0,20.0
2026-05-20,East,5022.07,1000.0,0,16.3
2026-05-21,East,5115.8,1000.0,0,14.8
2026-05-22,East,5597.12,1000.0,0,15.4
2026-05-23,East,5111.2,1000.0,0,13.2
2026-05-24,East,4972.1,1000.0,0,9.4
2026-05-25,East,4552.73,1000.0,0,11.8
2026-05-26,East,4585.12,1000.0,0,14.6
2026-05-27,East,4970.51,1000.0,0,15.5
2026-05-28,East,5331.08,1000.0,0,17.0
2026-05-29,East,5514.35,980.8,0,21.0
2026-05-30,East,5008.1,1000.0,0,21.4
2026-05-31,East,4837.57,985.1,0,19.8
2026-06-01,East,4707.61,1000.0,0,24.0
2026-06-02,East,4767.12,992.6,0,25.2
2026-06-03,East,4986.22,984.0,0,27.0
2026-06-04,East,5230.62,997.9,0,26.9
2026-06-05,East,5459.11,1000.0,0,23.6
2026-06-06,East,5279.7,989.3,0,25.5
2026-06-07,East,4904.62,1000.0,0,29.4
2026-06-08,East,4538.62,1000.0,0,28.4
2026-06-09,East,4722.02,989.4,0,29.5
2026-06-10,East,5112.28,971.0,0,31.5
2026-06-11,East,5150.01,991.3,0,26.5
2026-06-12,East,5229.54,1000.0,0,27.7
2026-06-13,East,5088.08,994.6,0,24.8
2026-06-14,East,4955.15,1000.0,0,24.6
2026-06-15,East,4905.09,992.3,0,20.0
2026-06-16,East,4836.62,973.1,0,19.7
2026-06-17,East,4799.63,1000.0,0,22.3
2026-06-18,East,5171.82,995.6,0,19.4
2026-06-19,East,5450.37,991.6,0,12.5
2026-06-20,East,4976.51,1000.0,0,18.6
2026-06-21,East,4659.42,1000.0,0,13.3
2026-06-22,East,4642.13,1000.0,0,14.8
2026-06-23,East,4882.07,1000.0,0,14.0
2026-06-24,East,4956.37,996.1,0,14.3
2026-06-25,East,5493.18,991.6,0,16.4
2026-06-26,East,5312.98,1000.0,0,15.7
2026-06-27,East,4975.55,996.3,0,17.5
2026-06-28,East,4893.34,992.8,0,16.8
2026-06-29,East,4948.19,1000.0,0,21.8
2026-04-01,West,3130.72,1000.0,0,24.0
2026-04-02,West,3214.1,1000.0,0,24.7
2026-04-03,West,3171.57,1000.0,0,22.7
2026-04-04,West,3188.4,1000.0,0,27.1
2026-04-05,West,2896.45,997.3,0,25.1
2026-04-06,West,2968.48,995.1,0,27.2
2026-04-07,West,2751.52,1000.0,0,34.9
2026-04-08,West,3111.44,992.9,0,30.3
2026-04-09,West,3265.47,1000.0,0,30.2
2026-04-10,West,3189.73,1000.0,0,31.6
2026-04-11,West,3225.97,1000.0,0,32.5
2026-04-12,West,2782.88,1000.0,0,27.1
2026-04-13,West,2883.41,996.3,0,28.6
2026-04-14,West,2653.91,981.8,0,27.5
2026-04-15,West,3091.07,972.9,0,24.9
2026-04-16,West,3462.3,996.9,0,22.2
2026-04-17,West,3459.65,1000.0,0,22.5
2026-04-18,West,3175.72,1000.0,0,20.0
2026-04-19,West,3021.39,990.8,0,17.7
2026-04-20,West,2905.74,972.9,0,16.3
2026-04-21,West,2735.72,1000.0,0,17.2
2026-04-22,West,3235.49,1000.0,0,14.2
2026-04-23,West,3447.14,982.2,0,13.0
2026-04-24,West,3223.86,969.5,0,15.0
2026-04-25,West,3256.82,969.8,0,13.4
2026-04-26,West,2938.51,968.8,0,15.3
2026-04-27,West,2981.16,967.9,0,16.4
2026-04-28,West,2969.58,984.8,0,17.9
2026-04-29,West,3109.87,1000.0,0,20.9
2026-04-30,West,3481.33,1000.0,0,19.0
2026-05-01,West,3668.35,1000.0,0,21.3
2026-05-02,West,3028.35,1000.0,0,20.1
2026-05-03,West,2919.41,1000.0,0,24.7
2026-05-04,West,2686.79,994.0,0,24.6
2026-05-05,West,2861.29,997.1,0,28.4
2026-05-06,West,2971.53,1000.0,0,30.3
2026-05-07,West,3452.67,1000.0,0,29.2
2026-05-08,West,3669.65,990.0,0,28.6
2026-05-09,West,3250.14,1000.0,0,30.9
2026-05-10,West,2781.44,990.6,0,29.8
2026-05-11,West,2732.74,1000.0,0,27.8
2026-05-12,West,2805.93,1000.0,0,27.6
2026-05-13,West,3270.46,1000.0,0,25.6
2026-05-14,West,3375.78,993.5,0,24.5
2026-05-15,West,3416.83,1000.0,0,20.6
2026-05-16,West,3129.35,1000.0,0,22.3
2026-05-17,West,2896.3,1000.0,0,19.6
2026-05-18,West,2872.74,1000.0,0,20.9
2026-05-19,West,2844.22,1000.0,0,15.7
2026-05-20,West,3206.09,1000.0,0,14.2
2026-05-21,West,3272.44,1000.0,0,15.5
2026-05-22,West,2974.78,1000.0,0,12.7
2026-05-23,West,3171.43,1000.0,0,16.1
2026-05-24,West,2773.11,1000.0,0,15.0
2026-05-25,West,2878.4,1000.0,0,16.6
2026-05-26,West,2914.12,1000.0,0,16.5
2026-05-27,West,3228.0,1000.0,0,18.4
2026-05-28,West,3256.65,1000.0,0,18.3
2026-05-29,West,3372.42,1000.0,0,19.0
2026-05-30,West,3147.42,1000.0,0,21.3
2026-05-31,West,2973.28,980.4,0,24.6
2026-06-01,West,2905.65,1000.0,0,20.7
2026-06-02,West,2702.27,1000.0,0,26.7
2026-06-03,West,3279.42,986.4,0,27.1
2026-06-04,West,3364.48,1000.0,0,31.1
2026-06-05,West,3537.56,1000.0,0,26.0
2026-06-06,West,3176.59,998.1,0,30.0
2026-06-07,West,2926.28,1000.0,0,30.3
2026-06-08,West,2950.93,982.7,0,26.9
2026-06-09,West,2909.5,964.2,0,28.6
2026-06-10,West,3287.86,985.2,0,28.8
2026-06-11,West,3130.43,1000.0,0,27.1
2026-06-12,West,3218.72,989.8,0,22.3
2026-06-13,West,3308.0,983.1,0,27.2
2026-06-14,West,2999.09,1000.0,0,22.5
2026-06-15,West,2780.83,1000.0,0,19.7
2026-06-16,West,3087.05,1000.0,0,18.2
2026-06-17,West,3207.75,993.8,0,18.3
2026-06-18,West,1432.96,861.9,20,20.2
2026-06-19,West,1553.91,770.8,20,16.0
2026-06-20,West,1472.08,644.5,20,16.0
2026-06-21,West,1361.26,527.0,20,15.6
2026-06-22,West,1274.0,399.2,20,15.5
2026-06-23,West,1233.79,311.7,20,13.9
2026-06-24,West,1358.47,219.6,20,18.0
2026-06-25,West,1460.54,104.7,20,15.0
2026-06-26,West,1572.01,50.0,20,14.7
2026-06-27,West,1438.62,50.0,20,17.2
2026-06-28,West,1312.0,50.0,20,13.9
2026-06-29,West,1318.65,50.0,20,18.1
